KNOT	A	B1	B2	B3	SEX	AGE	PERCENTILE	CHART
0.900000e 01	0.704490e 02	0.135314e 01	-0.240618e-01	0.338272e-03				
0.240000e 02	0.864738e 02	0.859617e 00	-0.883953e-02	0.311125e-04				
0	0.327245e 01	0.108530e 01	-0.671581e-01	0.222626e-02	M	1	50	2
0.600000e 01	0.784742e 01	0.519838e 00	-0.270854e-01	0.742172e-03				
0.180000e 02	0.114677e 02	0.190407e 00	-0.367198e-03	-0.154187e-04				
0	0.323249e 01	0.764466e 00	-0.115107e-01	-0.912367e-03	F	1	50	2
0.600000e 01	0.720783e 01	0.527802e 00	-0.279333e-01	0.755578e-03				
0.180000e 02	0.108247e 02	0.183813e 00	-0.732486e-03	0.532623e-05				
0	0.518096e 02	0.471037e 01	-0.366363e 00	0.130073e-01	M	1	75	1
0.900000e 01	0.740099e 02	0.127663e 01	-0.151649e-01	0.386072e-04				
0.240000e 02	0.898775e 02	0.847740e 00	-0.134275e-01	0.441612e-03				
0	0.510302e 02	0.418457e 01	-0.289787e 00	0.985427e-02	F	1	75	1
0.900000e 01	0.724024e 02	0.136300e 01	-0.237212e-01	0.350357e-03				
0.240000e 02	0.886926e 02	0.887856e 00	-0.795514e-02	-0.668038e-04				
0	0.363751e 01	0.119800e 01	-0.841292e-01	0.321840e-02	M	1	75	2
0.600000e 01	0.849200e 01	0.536032e 00	-0.261980e-01	0.672515e-03				
0.180000e 02	0.123140e 02	0.197806e 00	-0.198747e-02	0.618453e-04				
0	0.352164e 01	0.854265e 00	-0.185932e-01	-0.702061e-03	F	1	75	2
0.600000e 01	0.782623e 01	0.555324e 00	-0.312303e-01	0.898705e-03				
0.180000e 02	0.115459e 02	0.194037e 00	0.112307e-02	-0.632138e-04				
0	0.534638e 02	0.457891e 01	-0.336649e 00	0.116791e-01	M	1	90	1
0.900000e 01	0.759195e 02	0.135725e 01	-0.213134e-01	0.216447e-03				
0.240000e 02	0.922133e 02	0.863953e 00	-0.115733e-01	0.302982e-03				
0	0.520101e 02	0.439704e 01	-0.315579e 00	0.109649e-01	F	1	90	1
0.900000e 01	0.740150e 02	0.138108e 01	-0.195273e-01	0.127801e-03				
0.240000e 02	0.907689e 02	0.881531e 00	-0.137762e-01	0.342717e-03				
0	0.382451e 01	0.143745e 01	-0.127525e 00	0.575353e-02	M	1	90	2
0.600000e 01	0.910106e 01	0.528528e 00	-0.239618e-01	0.610427e-03				
0.180000e 02	0.130477e 02	0.217149e 00	-0.198644e-02	0.589106e-04				
0	0.363971e 01	0.106552e 01	-0.537615e-01	0.132724e-02	F	1	90	2
0.600000e 01	0.838409e 01	0.563721e 00	-0.298711e-01	0.840897e-03				
0.180000e 02	0.123004e 02	0.210083e 00	0.401210e-03	-0.412138e-04				
0	0.543856e 02	0.452062e 01	-0.320567e 00	0.109803e-01	M	1	95	1
0.900000e 01	0.771100e 02	0.141864e 01	-0.240977e-01	0.257930e-03				
0.240000e 02	0.938381e 02	0.869811e 00	-0.124908e-01	0.384083e-03				
0	0.528829e 02	0.430580e 01	-0.296555e 00	0.101229e-01	F	1	95	1
0.900000e 01	0.749937e 02	0.142768e 01	-0.232364e-01	0.233168e-03				
0.240000e 02	0.919676e 02	0.887971e 00	-0.127439e-01	0.385460e-03				
0	0.414705e 01	0.132755e 01	-0.954705e-01	0.362745e-02	M	1	95	2
0.600000e 01	0.945892e 01	0.573664e 00	-0.301764e-01	0.835191e-03				
0.180000e 02	0.134407e 02	0.210232e 00	-0.109547e-03	0.155983e-04				
0	0.381471e 01	0.117919e 01	-0.763867e-01	0.272110e-02	F	1	95	2
0.600000e 01	0.872766e 01	0.556425e 00	-0.274068e-01	0.751782e-03				
0.180000e 02	0.127573e 02	0.223432e 00	-0.342618e-03	-0.211409e-04				
0.490000e 02	0.271970e 01	0.556993e-01	0.137097e-01	-0.276856e-03	M	1	5	3
0.720000e 02	0.788469e 01	0.246973e 00	-0.539340e-02	0.141049e-03				
0.900000e 02	0.114053e 02	0.189911e 00	0.222326e-02	0.103773e-03				
